Pizza_type_id,Name,Category,Description
113,Classic Stuffed Garlic Bread,Veg,"Freshly baked garlic bread with cheese, juicy corn & tangy jalapeno"
114,Classic Stuffed Garlic Bread,Nonveg,"Freshly baked garlic bread with cheese, juicy corn & tangy jalapeno"
115,Cheesy Dip,Veg,An all-time favorite with your Garlic Breadsticks & Stuffed Garlic Bread for a Cheesy indulgence
116,Cheesy Dip,Nonveg,An all-time favorite with your Garlic Breadsticks & Stuffed Garlic Bread for a Cheesy indulgence
117,Roasted Chicken Wings Classic Hot Sauce,Veg,"Crisp, Roasted Chicken Wings available in Classic Hot Sauce"
118,Roasted Chicken Wings Classic Hot Sauce,Nonveg,"Crisp, Roasted Chicken Wings available in Classic Hot Sauce"
119,Paneer Tikka Stuffed Garlic Bread,Veg,"Freshly Baked Stuffed Garlic Bread with Cheese, Onion and Paneer Tikka fillings. Comes with a dash of Basil Parsley Sprinkle on top"
120,Paneer Tikka Stuffed Garlic Bread,Nonveg,"Freshly Baked Stuffed Garlic Bread with Cheese, Onion and Paneer Tikka fillings. Comes with a dash of Basil Parsley Sprinkle on top"
121,Chicken Pepperoni Stuffed Garlic Bread,Veg,"Freshly Baked Garlic Bread stuffed with Delectable Chicken Pepperoni, Cheese and sprinkled with Basil Parsley"
122,Chicken Pepperoni Stuffed Garlic Bread,Nonveg,"Freshly Baked Garlic Bread stuffed with Delectable Chicken Pepperoni, Cheese and sprinkled with Basil Parsley"
123,Taco Mexicana Veg,Veg,Truly irresistible! Crispy taco with veg patty & creamy harissa sauce
124,Taco Mexicana Veg,Nonveg,Truly irresistible! Crispy taco with veg patty & creamy harissa sauce
125,Taco Mexicana Veg,Veg,Truly irresistible! Crispy taco with veg patty & creamy harissa sauce
126,Taco Mexicana Veg,Nonveg,Truly irresistible! Crispy taco with veg patty & creamy harissa sauce
127,Taco Mexicana Non Veg,Veg,Truly irresistible! Crispy taco with non-veg patty & creamy harissa sauce
