Pizza_type_id,Name,Category,Description
182,Meal for 2: Farmhouse & Peppy Paneer,Nonveg,Regular Farmhouse + Regular Peppy Paneer + Garlic Bread + Pepsi
183,Meal for 2: Margherita & Peppy Paneer,Veg,Regular Margherita + Regular Peppy Paneer + Garlic Bread + Pepsi
184,Meal for 2: Margherita & Peppy Paneer,Nonveg,Regular Margherita + Regular Peppy Paneer + Garlic Bread + Pepsi
185,Meal for 2: Farmhouse & Veg Extravaganza,Veg,Regular Farmhouse + Regular Veg Extravaganza + Garlic Bread + Pepsi
186,Meal for 2: Farmhouse & Veg Extravaganza,Nonveg,Regular Farmhouse + Regular Veg Extravaganza + Garlic Bread + Pepsi
187,Meal for 2: Veg Paradise & Farmhouse,Veg,Regular Veg Paradise + Regular Farmhouse + Garlic Bread + Pepsi
188,Meal for 2: Veg Paradise & Farmhouse,Nonveg,Regular Veg Paradise + Regular Farmhouse + Garlic Bread + Pepsi
189,Meal for 2: Pepper BBQ Chicken & Spiced Double Chicken,Veg,Regular Pepper BBQ Chicken + Regular Spiced Double Chicken + Garlic Bread + Pepsi
190,Meal for 2: Pepper BBQ Chicken & Spiced Double Chicken,Nonveg,Regular Pepper BBQ Chicken + Regular Spiced Double Chicken + Garlic Bread + Pepsi
191,Meal for 4: Margherita & Peppy Paneer,Veg,Medium Margherita + Medium Peppy Paneer + Garlic Bread + 2 Pepsi
192,Meal for 4: Margherita & Peppy Paneer,Nonveg,Medium Margherita + Medium Peppy Paneer + Garlic Bread + 2 Pepsi
193,Meal for 4: Veg Extravaganza & Indi Tandoori Paneer,Veg,Medium Veg Extravaganza + Medium Indi Tandoori Paneer + Garlic Bread + 2 Pepsi
194,Meal for 4: Veg Extravaganza & Indi Tandoori Paneer,Nonveg,Medium Veg Extravaganza + Medium Indi Tandoori Paneer + Garlic Bread + 2 Pepsi
195,Meal for 4: Veg Cheesy Pizza,Veg,Regular Fresh Veggie + Regular Peppy Paneer + Regular Corn n Cheese + Regular Farmhouse
196,Meal for 4: Veg Cheesy Pizza,Nonveg,Regular Fresh Veggie + Regular Peppy Paneer + Regular Corn n Cheese + Regular Farmhouse
197,Meal for 4: Veg Loaded Pizza,Veg,Regular Veg Extravaganza + Regular Veg Paradise Pizza + Regular Indi Tandoori Paneer + Regular Farmhouse
198,Meal for 4: Veg Loaded Pizza,Nonveg,Regular Veg Extravaganza + Regular Veg Paradise Pizza + Regular Indi Tandoori Paneer + Regular Farmhouse
199,Meal for 4: Non Veg Pizza Mania Value,Veg,2 PM Pepper Barbecue Chicken + PM Chicken Sausage + PM Non Veg Loaded
200,Meal for 4: Non Veg Pizza Mania Value,Nonveg,2 PM Pepper Barbecue Chicken + PM Chicken Sausage + PM Non Veg Loaded
201,Garlic Breadsticks + Cheesy Dip,Veg,Enjoy the all-time favorite Garlic Breadsticks with the indulgent Cheesy Dip
202,Garlic Breadsticks + Cheesy Dip,Nonveg,Enjoy the all-time favorite Garlic Breadsticks with the indulgent Cheesy Dip
203,Garlic Breadsticks + Pepsi,Veg,Enjoy the all time favourite Garlic Breadsticks with Pepsi (475 ml)
204,Garlic Breadsticks + Pepsi,Nonveg,Enjoy the all time favourite Garlic Breadsticks with Pepsi (475 ml)
205,Veg Parcel + Pepsi,Veg,Get Veg Parcel + Pepsi (295ml)
206,Veg Parcel + Pepsi,Nonveg,Get Veg Parcel + Pepsi (295ml)
207,Work from Home  Veg Treat,Veg,Reg Cheese & Corn Pizza + Pepsi
208,Work from Home  Veg Treat,Nonveg,Reg Cheese & Corn Pizza + Pepsi
209,Work from Home Non Veg Treat,Veg,Reg Chicken Sausage Pizza + Pepsi
210,Work from Home Non Veg Treat,Nonveg,Reg Chicken Sausage Pizza + Pepsi
